title,artist,winner,year
U Can't Touch This (Single),M.C. Hammer,0,1990
Nothing Compares 2 U (Single),Sinéad O'Connor,0,1990
From A Distance (Single),Bette Midler,0,1990
Unforgettable,"Natalie Cole (With Nat ""King"" Cole)",1,1991
Something To Talk About (Single),Bonnie Raitt,0,1991
Losing My Religion,R.E.M.,0,1991
Baby Baby (Single),Amy Grant,0,1991
(Everything I Do) I Do It For You,Bryan Adams,0,1991
Tears In Heaven,Eric Clapton,1,1992
Save The Best For Last (Single),Vanessa Williams,0,1992
Constant Craving (Single),k.d. lang,0,1992
Beauty And The Beast (Single),Celine Dion And Peabo Bryson,0,1992
Achy Breaky Heart (Single),Billy Ray Cyrus,0,1992
I Will Always Love You,Whitney Houston,1,1993
The River Of Dreams (Single),Billy Joel,0,1993
If I Ever Lose My Faith In You (Single),Sting,0,1993
Harvest Moon (Single),Neil Young,0,1993
A Whole New World (Aladdin's Theme) (Single),Peabo Bryson And Regina Belle,0,1993
All I Wanna Do,Sheryl Crow,1,1994
Streets Of Philadelphia (Single),Bruce Springsteen,0,1994
Love Sneakin' Up On You (Single),Bonnie Raitt,0,1994
I'll Make Love To You (Single),Boyz II Men,0,1994
He Thinks He'll Keep Her (Single),Mary Chapin Carpenter,0,1994
Kiss From A Rose,Seal,1,1995
Waterfalls (Single),TLC,0,1995
One Sweet Day (Single),Mariah Carey And Boyz II Men,0,1995
One Of Us (Single),Joan Osborne,0,1995
Gangsta's Paradise (Single),Coolio Featuring L.V.,0,1995
Change The World,Eric Clapton,1,1996
Ironic (Track),Alanis Morissette,0,1996
Give Me One Reason (Track),Tracy Chapman,0,1996
"Because You Loved Me (Theme From \""Up Close And Personal\"") (Track)",Celine Dion,0,1996
1979 (Track),The Smashing Pumpkins,0,1996
Sunny Came Home,Shawn Colvin,1,1997
Where Have All The Cowboys Gone? (Track),Paula Cole,0,1997
Mmmbop (Single),Hanson,0,1997
I Believe I Can Fly (Single),R. Kelly,0,1997
Everyday Is A Winding Road (Single),Sheryl Crow,0,1997
My Heart Will Go On (Love Theme From Titanic),Celine Dion,1,1998
You're Still The One (Single),Shania Twain,0,1998
The Boy Is Mine (Track),Brandy And Monica,0,1998
Ray Of Light (Single),Madonna,0,1998
Iris (Track),Goo Goo Dolls,0,1998
Smooth,Santana Featuring Rob Thomas,1,1999
No Scrubs (Single),TLC,0,1999
Livin' La Vida Loca (Track),Ricky Martin,0,1999
I Want It That Way (Track),Backstreet Boys,0,1999
Believe (Single),Cher,0,1999
Beautiful Day,U2,1,2000
Say My Name (Single),Destiny's Child,0,2000
Music (Track),Madonna,0,2000
I Try (Single),Macy Gray,0,2000
Bye Bye Bye (Track),N Sync,0,2000
Walk On,U2,1,2001
Drops Of Jupiter,Train,0,2001
Ms. Jackson,OutKast,0,2001
Fallin',Alicia Keys,0,2001
Video,India.Arie,0,2001
Don't Know Why,Norah Jones,1,2002
How You Remind Me,Nickelback,0,2002
Dilemma,Nelly Featuring Kelly Rowland,0,2002
Without Me,Eminem,0,2002
A Thousand Miles,Vanessa Carlton,0,2002
Clocks,Coldplay,1,2003
Hey Ya!,OutKast,0,2003
Lose Yourself,Eminem,0,2003
Where Is The Love,The Black Eyed Peas & Justin Timberlake,0,2003
Crazy In Love,Beyoncé Featuring Jay-Z,0,2003
Here We Go Again,Ray Charles & Norah Jones,1,2004
Yeah!,Usher Featuring Lil Jon & Ludacris,0,2004
Heaven,Los Lonely Boys,0,2004
American Idiot,Green Day,0,2004
Let's Get It Started,The Black Eyed Peas,0,2004
Boulevard Of Broken Dreams,Green Day,1,2005
Gold Digger,Kanye West,0,2005
Hollaback Girl,Gwen Stefani,0,2005
Feel Good Inc.,Gorillaz Featuring De La Soul,0,2005
We Belong Together,Mariah Carey,0,2005
Not Ready To Make Nice,Dixie Chicks,1,2006
Put Your Records On,Corinne Bailey Rae,0,2006
Crazy,Gnarls Barkley,0,2006
You're Beautiful,James Blunt,0,2006
Be Without You,Mary J. Blige,0,2006
Rehab,Amy Winehouse,1,2007
What Goes Around…Comes Around,Justin Timberlake,0,2007
Umbrella,Rihanna Featuring Jay-Z,0,2007
The Pretender,Foo Fighters,0,2007
Irreplaceable,Beyoncé,0,2007
Please Read The Letter,Robert Plant & Alison Krauss,1,2008
Paper Planes,M.I.A,0,2008
Bleeding Love,Leona Lewis,0,2008
Viva La Vida,Coldplay,0,2008
Chasing Pavements,Adele,0,2008
Use Somebody,Kings Of Leon,1,2009
You Belong With Me,Taylor Swift,0,2009
Poker Face,Lady Gaga,0,2009
I Gotta Feeling,The Black Eyed Peas,0,2009
Halo,Beyoncé,0,2009
Need You Now,Lady Antebellum,1,2010
Empire State Of Mind,Jay-Z & Alicia Keys,0,2010
Fuck You,Cee Lo Green,0,2010
Love The Way You Lie,Eminem Featuring Rihanna,0,2010
Nothin' On You,B.o.B Featuring Bruno Mars,0,2010
Rolling In The Deep,Adele,1,2011
Firework,Katy Perry,0,2011
The Cave,Mumford & Sons,0,2011
Grenade,Bruno Mars,0,2011
Holocene,Bon Iver,0,2011
Somebody That I Used To Know,Gotye Featuring Kimbra,1,2012
We Are Never Ever Getting Back Together,Taylor Swift,0,2012
Thinkin Bout You,Frank Ocean,0,2012
We Are Young,Fun. Featuring Janelle Monáe,0,2012
Stronger (What Doesn't Kill You),Kelly Clarkson,0,2012
Lonely Boy,The Black Keys,0,2012
Get Lucky,Daft Punk Featuring Pharrell Williams & Nile Rodgers,1,2013
Blurred Lines,Robin Thicke Featuring T.I. & Pharrell,0,2013
Locked Out Of Heaven,Bruno Mars,0,2013
Royals,Lorde,0,2013
Radioactive,Imagine Dragons,0,2013
Stay With Me (Darkchild Version),Sam Smith,1,2014
All About That Bass,Meghan Trainor,0,2014
Shake It Off,Taylor Swift,0,2014
Chandelier,Sia,0,2014
Fancy,Iggy Azalea Featuring Charli XCX,0,2014
Uptown Funk,Mark Ronson Featuring Bruno Mars,1,2015
Can't Feel My Face,The Weeknd,0,2015
Blank Space,Taylor Swift,0,2015
Thinking Out Loud,Ed Sheeran,0,2015
Really Love,D'Angelo And The Vanguard,0,2015
Hello,Adele,1,2016
Stressed Out,Twenty One Pilots,0,2016
Work,Rihanna Featuring Drake,0,2016
7 Years,Lukas Graham,0,2016
Formation,Beyoncé,0,2016
24K Magic,Bruno Mars,1,2017
HUMBLE.,Kendrick Lamar,0,2017
Redbone,Childish Gambino,0,2017
The Story Of O.J.,JAY-Z,0,2017
Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,0,2017
This Is America,Childish Gambino,1,2018
The Middle,"Zedd, Maren Morris & Grey",0,2018
I Like It,"Cardi B, Bad Bunny & J Balvin",0,2018
The Joke,Brandi Carlile,0,2018
God's Plan,Drake,0,2018
Shallow,Lady Gaga & Bradley Cooper,0,2018
All The Stars,Kendrick Lamar & SZA,0,2018
Rockstar,Post Malone Featuring 21 Savage,0,2018
Bad Guy,Billie Eilish,1,2019
7 rings,Ariana Grande,0,2019
"Hey, Ma",Bon Iver,0,2019
Sunflower,Post Malone & Swae Lee,0,2019
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0,2019
Hard Place,H.E.R.,0,2019
Talk,Khalid,0,2019
